timestamp,currency,amount,deposited,withdrawn,transferIn,transferOut,pendingCredit,pendingDebit,confirmedDebit
2026-07-03T04:00:00.279Z,XBt,3183310466,177199051,6600180000,2984800,600000,0,0,0
2026-05-30T00:01:00.000Z,USDt,888237518,0,0,1551389869,665000000,0,0,0
2026-04-29T02:09:35.360Z,BMEx,11000120000,0,0,19851120000,1505000000,0,0,0
2025-11-25T09:26:39.328Z,ADa,0,0,0,0,0,0,0,0
2025-11-25T09:26:35.879Z,BNb,0,0,0,0,0,0,0,0
2025-11-25T09:25:19.588Z,s,0,0,0,0,0,0,0,0
2025-11-25T09:25:15.882Z,ATOm,0,0,0,0,0,0,0,0
2025-11-25T09:25:04.934Z,LTc,0,0,0,0,0,0,0,0
2025-11-25T09:24:33.788Z,AVAx,0,0,0,0,0,0,0,0
2025-11-25T09:24:32.216Z,LOt,0,0,0,0,0,0,0,0
2025-11-25T09:24:03.095Z,POl,0,0,0,0,0,0,0,0
2025-11-25T09:23:29.114Z,BCh,0,0,0,0,0,0,0,0
2025-11-25T09:23:24.734Z,XRp,0,0,0,0,0,0,0,0
2025-11-25T09:22:55.592Z,NEAr,0,0,0,0,0,0,0,0
2025-11-25T09:22:52.847Z,DOGe,0,0,0,0,0,0,0,0
